metric,segment,fy2022,fy2023
revenue,Total,198270,211915
revenue,Intelligent Cloud,74965,87908
revenue,Productivity and Business Processes,63364,69274
revenue,More Personal Computing,59941,54734
gross_margin,Total,135620,146052
operating_income,Total,83383,88523
operating_expenses,Total,52237,57529
net_income,Total,72738,72361
